id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20121,6612,MOT,ADULTS,conv,3,english,all,2
20121,6612,FAT,ADULTS,conv,3,english,all,2
20121,5112,CHI,CHI,conv,8,english,all,1
20121,5112,FAT,ADULTS,conv,8,english,all,1
20127,6733,CHI,CHI,conv,11,english,all,1
20127,6733,ADF,ADULTS,conv,11,english,all,1
20127,5533,CHI,CHI,conv,15,english,all,1
20127,5533,ADF,ADULTS,conv,15,english,all,1
20127,46633,CHI,CHI,conv,8,english,all,1
20127,46633,ADF,ADULTS,conv,8,english,all,1
20128,4535,CHI,CHI,conv,3,english,all,1
20128,4535,MOT,ADULTS,conv,3,english,all,1
20128,35,CHI,CHI,conv,6,english,all,1
20128,35,MOT,ADULTS,conv,6,english,all,1
20128,1835,CHI,CHI,conv,7,english,all,1
20128,1835,MOT,ADULTS,conv,7,english,all,1
20128,15335,CHI,CHI,conv,8,english,all,1
20128,15335,MOT,ADULTS,conv,8,english,all,1
20129,304,CHI,CHI,conv,38,english,all,1
20129,304,MOT,ADULTS,conv,38,english,all,1
20132,40053,CHI,CHI,conv,3,english,all,1
20132,40053,MOT,ADULTS,conv,3,english,all,2
20132,40053,ADM,ADULTS,conv,3,english,all,2
20132,41853,CHI,CHI,conv,4,english,all,1
20132,41853,MOT,ADULTS,conv,4,english,all,1
20132,39453,CHI,CHI,conv,5,english,all,1
20132,39453,MOT,ADULTS,conv,5,english,all,2
20132,39453,ADM,ADULTS,conv,5,english,all,2
20132,37353,CHI,CHI,conv,8,english,all,1
20132,37353,MOT,ADULTS,conv,8,english,all,3
20132,37353,ADF,ADULTS,conv,8,english,all,3
20132,37353,ADM,ADULTS,conv,8,english,all,3
20136,35618,CHI,CHI,conv,11,english,all,1
20136,35618,MOT,ADULTS,conv,11,english,all,2
20136,35618,GMA,ADULTS,conv,11,english,all,2
20149,23973,CHI,CHI,conv,1,english,all,1
20149,23973,MOT,ADULTS,conv,1,english,all,3
20149,23973,GMA,ADULTS,conv,1,english,all,3
20149,23973,ADF,ADULTS,conv,1,english,all,3
20149,23373,CHI,CHI,conv,2,english,all,1
20149,23373,MOT,ADULTS,conv,2,english,all,2
20149,23373,GMA,ADULTS,conv,2,english,all,2
20149,24873,CHI,CHI,conv,3,english,all,1
20149,24873,MOT,ADULTS,conv,3,english,all,3
20149,24873,GMA,ADULTS,conv,3,english,all,3
20149,24873,ADF,ADULTS,conv,3,english,all,3
20149,1221,CHI,CHI,conv,4,english,all,1
20149,1221,MOT,ADULTS,conv,4,english,all,1
20149,14421,CHI,CHI,conv,5,english,all,1
20149,14421,MOT,ADULTS,conv,5,english,all,1
20157,5429,CHI,CHI,conv,15,english,all,1
20157,5429,MOT,ADULTS,conv,15,english,all,1
20157,5,CHI,CHI,conv,27,english,all,1
20157,5,MOT,ADULTS,conv,27,english,all,1
20161,4729,CHI,CHI,conv,2,english,all,1
20161,4729,MOT,ADULTS,conv,2,english,all,1
20161,1729,CHI,CHI,conv,3,english,all,1
20161,1729,MOT,ADULTS,conv,3,english,all,3
20161,1729,FAT,ADULTS,conv,3,english,all,3
